ViewCount,Score,AnswerCount,CommentCount,FavoriteCount,Malicious
244,15,1,2,1,0
0,13,0,2,0,0
417,11,3,1,0,0
0,3,0,0,0,0
13526,23,6,1,2,0
1019,11,2,0,1,1
0,18,0,0,0,0
251,10,1,1,1,0
0,8,0,1,0,0
1125,13,1,2,2,0
0,15,0,2,0,0
321,14,2,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
110,4,1,1,0,0
0,2,0,0,0,0
0,9,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,7,0,0,0,0
124,11,1,0,0,0
0,7,0,0,0,0
642,8,1,1,0,1
209,16,2,1,1,0
0,2,0,1,0,0
0,12,0,2,0,0
0,2,0,0,0,1
14412,57,5,0,7,0
393,13,1,3,0,0
19991,25,2,4,2,0
27560,75,2,0,23,1
482,13,1,0,0,0
0,37,0,2,0,0
0,7,0,0,0,0
0,123,0,4,0,0
221,8,2,1,0,0
0,6,0,3,0,0
0,30,0,0,0,1
0,4,0,5,0,1
0,4,0,1,0,1
280,11,2,3,2,0
980,14,1,10,1,1
165,5,2,0,0,0
0,5,0,1,0,0
458,13,2,2,1,0
0,9,0,3,0,0
0,1,0,1,0,0
390,8,2,2,0,0
0,3,0,3,0,0
8492,11,3,0,2,0
0,12,0,5,0,0
0,9,0,0,0,0
34,1,1,0,0,1
0,2,0,0,0,0
0,5,0,2,0,0
0,8,0,0,0,1
759,3,2,0,0,0
0,7,0,0,0,0
0,9,0,8,0,1
0,9,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1081,10,4,7,0,0
0,13,0,1,0,0
1086,7,5,0,0,0
11641,50,4,0,4,0
0,5,0,0,0,0
0,3,0,2,0,0
0,18,0,0,0,0
0,64,0,2,0,0
0,3,0,0,0,0
0,10,0,0,0,0
0,8,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5647,6,4,1,0,0
0,15,0,0,0,0
7079,31,10,4,5,0
0,11,0,0,0,0
0,28,0,3,0,0
0,2,0,0,0,0
0,11,0,0,0,0
0,5,0,0,0,1
0,4,0,0,0,0
4390,7,1,0,2,0
0,10,0,10,0,0
0,14,0,10,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,-1,0,0,0,1
58,8,1,0,0,0
0,7,0,0,0,0
1775,20,4,2,4,0
0,19,0,4,0,0
